evidence_candidate_id,rule_type,candidate_id,item_sequence,product_name,document_type,source_id,source_url,source_locator,evidence_text,review_status,supports_release
EXP-OTC-01-NB-P1-B3-duplicate_pharmacologic_class,duplicate_pharmacologic_class,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 3",1) 매일 3잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열진통제를 복용해야 할 경우 반드시 의,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P1-B3-alcohol,alcohol,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 3",1) 매일 3잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열진통제를 복용해야 할 경우 반드시 의,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P1-B4-gi_bleeding_ulcer,gi_bleeding_ulcer,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 4",사 또는 약사와 상의해야 한다. 이러한 사람이 이 약을 복용하면 위장출혈이 유발될 수 있다.,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P1-B5-decongestant_hypertension,decongestant_hypertension,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 5",2) 심혈관계 위험: 이 약을 포함한 비스테로이드성 소염(항염)진통제는 중대한 심혈관계 혈전(혈관막힘) 반,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P1-B7-decongestant_hypertension,decongestant_hypertension,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 7",험이 증가될 수 있다. 심혈관계 질환 또는 심혈관계 질환의 위험 인자가 있는 환자에서는 더 위험할 수도 있,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P1-B9-decongestant_hypertension,decongestant_hypertension,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 9","의사와 환자는 이러한 심혈관계 증상의 발현(드러냄)에 대하여 신중히 모니터링하여야 하며, 이는 심혈관계",codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P1-B10-decongestant_hypertension,decongestant_hypertension,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 10",질환의 병력이 없는 경우에도 마찬가지로 적용된다. 환자는 중대한 심혈관계 독성의 징후 및/또는 증상 및 이,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P1-B12-decongestant_hypertension,decongestant_hypertension,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 12","조절되지 않는 고혈압, 울혈심부전증(NYHA II-III), 확립된 허혈성 심장질환, 말초동맥질환, 뇌혈관질환을 가",codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P1-B14-decongestant_hypertension,decongestant_hypertension,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 14","피해야 한다. 또한 심혈관계 위험 요소(예. 고혈압, 고지혈증, 당뇨병, 흡연)를 가지고 있는 환자가 고용량 덱",codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P1-B23-age_restriction,age_restriction,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 23",응은 투여 기간 동안에 경고 증상 없이 발생할 수 있다. 고령자(노인)는 중대한 위장관계 이상반응의 위험이,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P1-B27-gi_bleeding_ulcer,gi_bleeding_ulcer,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 27","이 약을 투여하는 동안 위장관계 궤양 또는 출혈의 증상 및 징후에 대하여 신중히 모니터링 하여야 하며, 중증",codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P2-B4-gi_bleeding_ulcer,gi_bleeding_ulcer,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.2, 문단 4","1) 위장관궤양이 있거나 징후가 있는 환자, 또는 그 재발병력이 있는 환자",codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P2-B7-hepatic_disease,hepatic_disease,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.2, 문단 7",4) 심한 간장애 환자,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P2-B8-renal_disease,renal_disease,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.2, 문단 8",5) 심한 신장애(신장장애) 환자,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P2-B10-decongestant_hypertension,decongestant_hypertension,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.2, 문단 10",7) 심한 고혈압 환자,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P2-B17-pregnancy_lactation,pregnancy_lactation,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.2, 문단 17",12) 임신 6개월 이상의 임부(비스테로이드성 소염(항염)진통제와 마찬가지로 임신 말기에 이 약을 투여 시,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P2-B20-gi_bleeding_ulcer,gi_bleeding_ulcer,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.2, 문단 20","14) 이전의 비스테로이드성 소염(항염)진통제 치료로 인해, 위장관 출혈 또는 천공(뚫림)이 발생한 병력이 있",codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P3-B1-decongestant_hypertension,decongestant_hypertension,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.3, 문단 1",(1) 아스피린과의 병용(함께 복용)이 비스테로이드성 소염(항염)진통제의 사용과 관련된 중대한 심혈관계 혈,codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P3-B7-duplicate_pharmacologic_class,duplicate_pharmacologic_class,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.3, 문단 7","2) 다른 비스테로이드성 소염(항염)진통제와 병용투여(함께 복용) 시 위장관계 이상반응, 위장관 출혈 등 이",codex_candidate_not_expert_verified,false
EXP-OTC-01-NB-P3-B7-gi_bleeding_ulcer,gi_bleeding_ulcer,EXP-OTC-01,201110646,덱스피드연질캡슐(덱시부프로펜),NB,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.3, 문단 7","2) 다른 비스테로이드성 소염(항염)진통제와 병용투여(함께 복용) 시 위장관계 이상반응, 위장관 출혈 등 이",codex_candidate_not_expert_verified,false
