rule_id,rule_type,rank,recommendation,scope,evidence_candidate_id,product_name,item_sequence,source_id,source_url,source_locator,evidence_text,review_status,supports_release
OTC-RULE-001,duplicate_ingredient,1,recommended_primary,acetaminophen_containing_selected_products,SAFE-OTC-01-NB-P1-B12-duplicate_ingredient,타이레놀정500밀리그람(아세트아미노펜),202106092,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/NB,"사용상의주의사항 PDF p.1, 문단 12",아세트아미노펜을 포함하는 다른 제품과 함께 복용하여서는 안 된다.,human_expert_verified,true
OTC-RULE-001,duplicate_ingredient,2,alternative_context,acetaminophen_containing_selected_products,SAFE-OTC-04-NB-P1-B12-duplicate_ingredient,어린이타이레놀현탁액(아세트아미노펜),202200525,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/202200525/NB,"사용상의주의사항 PDF p.1, 문단 12",아미노펜을 포함하는 다른 제품과 함께 복용하여서는 안 된다.,codex_recommended_not_expert_verified,false
OTC-RULE-001,duplicate_ingredient,3,alternative_context,acetaminophen_containing_selected_products,SAFE-OTC-10-NB-P1-B12-duplicate_ingredient,판콜에이내복액,196800036,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/196800036/NB,"사용상의주의사항 PDF p.1, 문단 12",아미노펜을 포함하는 다른 제품과 함께 복용하여서는 안 된다.,codex_recommended_not_expert_verified,false
OTC-RULE-002,duplicate_pharmacologic_class,1,recommended_primary,ibuprofen_and_other_NSAIDs,SAFE-OTC-05-NB-P2-B17-duplicate_pharmacologic_class,어린이부루펜시럽(이부프로펜),198601920,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/198601920/NB,"사용상의주의사항 PDF p.2, 문단 17",2) 일반적으로 다른 비스테로이드성 소염진통제(NSAIDs)와 함께 복용하지 않는다.,human_expert_verified,true
OTC-RULE-002,duplicate_pharmacologic_class,2,alternative_context,ibuprofen_and_other_NSAIDs,EXP-OTC-01-NB-P1-B3-duplicate_pharmacologic_class,덱스피드연질캡슐(덱시부프로펜),201110646,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/201110646/NB,"사용상의주의사항 PDF p.1, 문단 3",1) 매일 3잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열진통제를 복용해야 할 경우 반드시 의,codex_recommended_not_expert_verified,false
OTC-RULE-002,duplicate_pharmacologic_class,3,alternative_context,ibuprofen_and_other_NSAIDs,EXP-OTC-02-NB-P1-B3-duplicate_pharmacologic_class,낙센정(나프록센),197500016,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/197500016/NB,"사용상의주의사항 PDF p.1, 문단 3",1) 매일 세잔 이상 정기적으로 술을 마시는 사람이 이 약이나 다른 해열진통제를 복용해야 할 경우 반드시 의,codex_recommended_not_expert_verified,false
OTC-RULE-003,max_daily_dose,1,recommended_primary,acetaminophen_tylenol500_age_12_plus,SAFE-OTC-01-UD-P1-B4-max_daily_dose,타이레놀정500밀리그람(아세트아미노펜),202106092,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/UD,"용법용량 PDF p.1, 문단 4",1일 최대 4그램 (8정)을 초과하여 복용하지 않는다.,human_expert_verified,true
OTC-RULE-003,max_daily_dose,2,alternative_context,acetaminophen_tylenol500_age_12_plus,SAFE-OTC-04-NB-P1-B10-max_daily_dose,어린이타이레놀현탁액(아세트아미노펜),202200525,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/202200525/NB,"사용상의주의사항 PDF p.1, 문단 10","3) 이 약은 아세트아미노펜을 함유하고 있다. 아세트아미노펜으로 일일 최대 용량(4,000mg)을 초과할 경우",codex_recommended_not_expert_verified,false
OTC-RULE-003,max_daily_dose,3,alternative_context,acetaminophen_tylenol500_age_12_plus,SAFE-OTC-05-UD-P1-B10-max_daily_dose,어린이부루펜시럽(이부프로펜),198601920,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/198601920/UD,"용법용량 PDF p.1, 문단 10",어린이 1회 용량 및 1일 최대 용량,codex_recommended_not_expert_verified,false
OTC-RULE-004,minimum_interval,1,recommended_primary,tylenol500_age_12_plus,SAFE-OTC-01-UD-P1-B3-minimum_interval,타이레놀정500밀리그람(아세트아미노펜),202106092,MFDS-NEDRUG-DETAIL,https://nedrug.mfds.go.kr/dsie/pdf/drb/202106092/UD,"용법용량 PDF p.1, 문단 3",1회 1~2정씩 1일 3-4회 (4-6시간 마다) 필요시 복용한다.,human_expert_verified,true
